Tanggal,Komentar
2023-10-03T17:08:30Z,"Kenapa tiktok shop wajib ditutup,

1. Tiktok itu ijinnya hanya untuk Media Sosial bukan E-Commerce.
2. Barang impor di tiktok shop masuk ke Indonesia tanpa bea cukai, pajak, cek BPOM, SNI, Sertifikasi Halal dll (merugikan negara dari sisi pendapatan dan masyarakat sebagai pengguna produk).
3. Barang impor di tiktok shop masuk ke Indonesia tanpa agen/reseller, artinya dari produsen di china langsung ke tangan konsumen, sehingga tidak ada pihak Indonesia diuntungkan dan justru harga sangat murah dan menghancurkan UMKM Indonesia.
4. Dari poin 2 dan 3 itu kurang tepat juga disebut barang impor, tetapi lebih tepatnya barang crossborder. Jadi barang crossborder itu mekanismenya lain dgn barang impor, misal saya ambil contoh teman kamu di Malaysia kirim ""nasi lemak"" ke kamu di Indonesia pake paket pengiriman barang tanpa melalui mekanisme impor. Apakah ""nasi lemak"" itu disebut barang impor? Tentu bukan melainkan barang kiriman/paket tapi crossborder, klo impor kan jelas ada agen penerima yg pastinya akan dikenakan bea cukai, pajak, cek BPOM, SNI, Sertifikasi Halal dll. Klo barang crossborder itu dikirim oleh produsen dipabriknya kepada konsumennya langsung seperti paket biasa.
5. UMKM Indonesia sulit bersaing di platform tiktok shop, karena algoritmanya memang diatur china untuk lebih meng-FYP kan atau mengangkat produk2 dari produsen china (Digital Economic War).
6. Iya betul saat ini produk UMKM Indonesia mungkin masih ada yg bisa ngangkat, karena algoritmanya mungkin masih dikasih ruang 10-20% biar seneng dlu, tapi kedepan disikat juga dan tanpa sadar semua produk china semua tanpa satupun produk Indonesia."
2023-10-03T16:39:37Z,"Produsen (pabrik) ikut jualan ,diecer dengan harga grosir, gratis ongkir pula, gimana engak bangkrut umkm si seluruh indonesia"
2023-10-03T15:13:19Z,"India ,eropa amerika jauh lebih dulu memblokir tiktok.. 
Indonesia terlambatttt..."
2023-10-03T14:51:16Z,😭😭😭😭😭😭
2023-10-03T13:06:08Z,Pantas aja dibilang g***** oleh gerung 🤣🤭
2023-10-03T13:02:01Z,Oo banget yg bikin regulasi. Siapa sih presiden nya? Silahkan Pak Jokowi omelin presiden nya..
2023-10-03T11:56:21Z,"Yang lambat pemerintahnya, malah sok sokan mengatasnamakan umkm."
2023-10-13T17:46:47Z,Nyataya msibsa bayar lagsong  pak
2023-10-10T16:59:29Z,Kadang tik tok  yg tdk sopan  merusak remaja . Pa lg tentang percintaan
2023-10-06T11:41:39Z,*PIE WIR? TANAH ABANG RAME RA?*😂😂
2023-10-05T16:32:54Z,Apa lagi sopi yg di tutup lebih mantap lagii
2023-10-05T16:28:53Z,Sopi yg harus di hapus kasiyan pedagang kecil kalah ama sopi yg juwal di bawah harga
2023-10-03T15:02:26Z,Alah percuma lasada dn shopi juga  masih berjualan jangan harap pedang pasar bakal hidup
2023-10-03T12:57:12Z,"shoppi sama lazada kan sma2 online,,,lazada dan shoopi bkan barang dlam juga"
2023-10-02T23:45:46Z,Masalah yg begitu di atrur Harga Komunitas pertanian di biarkan aza begitu heran aza
2023-10-01T07:58:28Z,Kurang kerjaan orang cari duit ko direcoki. Korupsi tu yg dikejar rezim aneh
2023-10-01T03:27:58Z,"Jangan tok tok shop saja pa mantri...shpelzdatkpeddanlainlain back to zamandeoleo , saya sebagai driver taksi sedih kalau melihat banyak mal mal pasar grosir sepi bangunan terbengkalai anyeb seperti tidak ada kehidupan"
2023-09-30T20:30:33Z,"Saya ngak setuju tiktok shop di hapus harusnya yang di hapus itu pedagang2 di pasaran soalnya bau banget apa lagi kaos bajunya, kualitas nya juga beda loh. Hidup e-commerce. Hancurkan pedagang pedagang kecil"
2023-09-30T11:42:55Z,hanya media promo? terus ga pakai rekber? kalau mau belanja nanti diarahkannya kemana untuk transfer? ke rek pribadi? kalau begitu bisa jadi angin segar buat penipu kayak zaman belanja di IG zaman tahun 2015an
2023-09-30T11:27:23Z,HAHAHAHAHAHAHAHA....
2023-09-30T09:54:44Z,"Mungkin sebagai pengusaha lama biasa aja.
Untuk pengusaha baru dan baru tumbuh kemudian di lenyapkan. Sama aja ngebunuh ekonomi juga."
2023-09-30T09:38:44Z,Mksd ny gmn sih orng msh bisa beli online d tiktok shop barusan gw mesen coklat 25rb
2023-09-30T05:31:30Z,"Aplikasi TiktokNya saja yang dihapus
Kalau hanya larangan saja tidak akan ada hasil"
2023-09-29T14:44:13Z,tegasnya.. Akan sangat bagus kalo fitur paylater yang di gaadakan pinjol legal maupun ilegal itu sangat merugikan masyarakat khususnya di indonesia ini.. Lebih ke dampak yaa mana yang lebih jelek dampaknya
2023-09-29T10:57:23Z,Ngak ngaruh
2023-09-28T15:30:20Z,"Menteri perdagangan hanya mikirin kalangan atas dan dirinya sendiri, tidak punya perasaan. kaya gitu kok jadi menteri."
2023-09-28T12:02:52Z,Siapa yg tdk bisa menyesuaikan diri dan ber inovasi mampus di lindas jalan.
2023-09-27T03:33:34Z,Semoga ini yang terbaik buat pedagang online maupun offline
2023-09-27T03:22:39Z,Pemerintah cuma bisanya koar koar sok bisa padahal mereka tak sanggup melakukan sesuatu akibatnya meskipun ada larangan online sampai saat ini memimpin pasar
2023-09-27T01:55:54Z,Bedanya apa ama toko ijo dan orange ?
2023-09-27T01:34:33Z,"Terlalu cepat ambil keputusan, tidak tau apa dampak tiktokshop di hapus. Gmn nasib 8 jt UMKM di tiktok. 7 jt affiliate. Seharus nya jangan membuat kebijakan yg merugikan sebelah pihak. Buat kebijakan yg sama sama menguntungkan kedua belah pihak."
2023-09-27T01:31:10Z,Joss Pak TETEN MASDUKI....UMKM semakin Menjerit Pak😢😢😢😢😢
2023-09-27T00:35:55Z,"banyak gulung tikar...bos
gegara online economi"
2023-09-27T00:18:49Z,"Pak orang2 bea cukai rapikan biar tidak ada barang import masuk,saya pedagang lokal di tiktok shop kadang pusing juga kalo barang import masuk murah bgt harganya yassalam ,dan jangan platformnya dihapus 😢"
2023-09-26T14:03:36Z,Masih bisa ko ...
2023-09-26T11:08:46Z,Yg untung para pejabat dan artis2 klw e.commers
2023-09-26T09:33:34Z,"Wkwkw... You all funy...
Jaman udah berubah, yg kalian lakuin adalah Percumah.
Penutupan tiktok tidak akan mengembalikan Pasar Tanah Abang / Offline yg lain.
Customer udah terlanjur Nyaman Belanja Onlen...
Intinya Kebijakan ini adalah ""USELESS / PERCUMAH""..."
2023-09-26T08:59:15Z,kebijakan yg tepat karna klo perang harga sama tiktok shop ga bakal bisa
2023-09-26T08:45:22Z,Semoga menjadi solusi yang adil...🙏
2023-09-26T08:03:15Z,"Ayo UMKM, tunjukkan kemampuanmu untuk memproduksi barang yg murah dan berkualitas, pasti laris dicintai pembeli manapun."
2023-09-26T07:47:41Z,Udah dri dlu kli rakyat menderita bru skarang di saat orang udah pda bangkrut
2023-09-26T07:36:23Z,😂😂😂😂 tiktok pula wkkwkwkwkqkqk
2023-09-26T07:30:24Z,"Pedagang dan Penjual Fitrahnya adalah Bersilaturahim, saling bertemu, bertatap muka dan disitulah Adanya Bermuamalah. In sha Allah hidup berkah"
2023-09-26T07:18:10Z,klo benar2 ttp gmn pasive income sy kisaran 5 s.d 7 ratusan ribu / hari ... mudah2an batal saya pasive income liwat afiliasi
2023-09-26T05:43:49Z,Setujjjjjjjuuuuuuuuuu pak
2023-09-26T03:22:39Z,Pak mentri tu Yang jual online kasih pajak 20% jg nggk papa kok blnja di online kan mmpermudah dan memuaskan bg konsumennya jd biarpun harga jualnya lbh mahal ya nggk ada masalah💪
2023-09-26T03:19:03Z,"Coba dibuat aturan, minimun pembelian online. Konsumen beli k toko pasti satuan. Jadi bikin aturan minimum pembelian online misal harus 10 atau 1 dus. Jangan dibikin satuan, umkm jelas kalah. Belanja online lebih simpel gak ribet tinggal lewat hp. Jadi tolong buat pemerintah pembelian lewat online shop dibuat aturan minimun pembelian tidak boleh satuan."
2023-09-26T03:04:37Z,menteri yg baru kalau menteri lain masih ngomong ngak usah nyeletup pa
2023-09-26T02:57:31Z,Sebenarnya ngk masalah jual online tapi tolong klu bisa dihilangkan pembayaran ditempat itu yg jadi pengaruh
2023-09-26T02:56:53Z,Fokussss pinjoll / judolll suuuuuuuuuuuuuu woy 🤣
2023-09-26T02:35:09Z,"Usul buat Mentri perdagangan buat aplikasi regulasi dagang merangkul dengan asosiasi dagang barang dan jasa :
Contoh 
Asosiasi dagang kaos
Teknisnya regulasi standar dagang kaos sekian
Melalui kriteria 
Kaos satu warna sekian, seterusnya...
Nah gesekan gesekan persaingan offline dan online itu ga ada, kalau pun ada kan asosiasi dan aparat, serta para pers blogger, bisa dapat kerjaan bila ada kriminalisasi dagang begitu barang standar di murahkan kalau dimahalkan itu tergantung customernya mau nggaknya"
2023-09-26T02:00:22Z,Heee indonesia rawan pinjol
2023-09-26T01:40:54Z,"Menteri pelanga pelongok kompak saling saut pidatonya kayak tidak siap,konpk sekli mentri ini,diskusi di depn pemirza ,untuk kedepn pilih mentri mentri yang cerdas"
2023-09-26T01:30:14Z,"Terimakasih sebanyak banyaknya kepada pemerintah yg begitu cepat tanggap mengatasi keluhan yg begitu banyak dari masyarakat ,"
2023-09-26T01:28:16Z,"Manti juga tiktok bikin aplikasi ecomerce sendiri, gampang itu buat tiktok"
2023-09-26T01:06:09Z,w programer tapi para tetua ini cuma sebut kosakata :v
2023-09-26T00:54:47Z,"Pemerintah wajib serius. Kalau ekonomi mikro sudah tidak bisa menopang sendi ekonomi. Ekonomi makro bakal hancur. Nilai tukar bakal jatuh, cashflow negara bakal lari ke luar. Jantung ekonomi seperti tanah abang, pasar pagi, pusat grosir cipulir dan pusat grosir di seluruh indonesia harus berdenyut kembali. Kalau tidak diatur bisa rusak ekonomi indonesia"
2023-09-26T00:43:12Z,"kayanya kompak nih bertiga, keliatan banget kalo bos mereka, RI1, concern banget dgn ancaman tiktok thdp umkm indonesia. bravo, Pakde"
2023-09-26T00:27:13Z,Kenapa masih berfikir zaman kuda? Perkembangan Teknologu digital jangan dikekang. Yang perlu diatur kebijakan menjual barang bekas di online.
2023-09-26T00:24:54Z,"online eccomerce platform.juga harus di munaskan jika tidak ada regulasi..sarang banting harga buat semua susah, hilang perkerjaan, phk, tidak ada gaji uang utk belanja."
2023-09-26T00:16:16Z,"Monapoli Trans Group itu salah satunya, pemerintah gk adil offline di pajakin dgn bermacam pajak yg ketat, online bebas jual brg import yg gk bayar pajak serta bebas, zalim pemerintah selama ini ke offline."
2023-09-26T00:08:59Z,Padahal belanja online ini udah bagus karena pedagang jg banyak yg main2 sama harga alias untung banyak. Cuma bedanya di online ketahuan mana yg ngambil untung banyak sama harga asli 😂😂
2023-09-25T23:45:53Z,"Tiktok selangkah lbh maju Dr e commerce yg lain, skrg dijegal disana sini
Mirip spt transportasi gojek grab dulu"
2023-09-25T23:03:11Z,"Edan lah pemerintah rakus amat semuanya di babad habis 😂😂😂, terlalu serakah"
2023-09-25T22:57:08Z,Terimakasihhh ya pak.. Suara banyak orang di dengarr
2023-09-25T22:52:24Z,"Walah.. negara Konoha, super bodoh.

Lihat google, Microsoft, facebook.
1000 persen data anda sudah dikendalikan U.S sejak lama.
😂😂😂

Memang menteri bayaran CIA menyusahkan rakyat 200 juta orang.

Pakai alasan tanah Abang hanya 200 orang.
Yg bisa beli stand tanah Abang bukan UMKM lagi pak. Omset pertahun mikyard.😂😂"
2023-09-25T22:49:40Z,"Ingat pak. Offline juga barang import,  dan banyak offline yg main harga sangat tinggi.

Untuk online di cek dulu pak, harga 100 rupiah tapi waktu cek out bisa 20000.😂( jadi jangan sok tau kok tidak masuk akal)"
2023-09-25T22:43:32Z,"Blok tiktok, dan buat aplikasi tiktok versi indonesia. Pasti akan membawa dampak positif bagi umkm, karena sebenarnya dgn adanya tiktok bnyk umkm juga yg diuntungkan pak. Karena penjualan dgn metode yg tiktok gunakan memang sangat bagus"
2023-09-25T22:21:14Z,Jangan tunggu pasar ambruk semua..trimakasih
2023-09-25T22:13:08Z,Lawak banget pejabat skrg. Skrg itu udh industri 4.0 dan Society 5.0. Sharusnya warga nya yg buta dgn e-commerce diajarkan dan diberikan bimbingan oleh pemerintah. Agar mereka dpt berjualan offline dan online juga
2023-09-25T21:38:38Z,"PERATURAN SIA-SIA SEMUA.
UPAYA MENCULIK/MEMBUNUH KETUJUH PATI ANGKATAN DARAT AJA BERAKHIR DENGAN SIA-SIA SEMUA APALAGI INI UPAYA UNTUK MENTRANSFORMASIKAN PERDAGANGAN DI REPUBLIK INI DAN BAHKAN DI DUNIA INI."
2023-09-25T21:11:23Z,"amerika sudah dari lama melarang tiktok,,pemerintah kita terlambat. tpi good job pemerintah."
2023-09-25T20:31:31Z,"Tokped, shopee lazada harusnya senang sih. Cepet ambil market"
2023-09-25T19:42:49Z,Pak ngomong aja ribet intinya kasih aja pedang ofline subsidi buat bisa ngasih voucher dan free ongkir ke konsumennya beres dah itu urusan kaga bakal kesaingi 😂😂😂
2023-09-25T19:39:41Z,Alhamdulillah mulai ada tanggapan yang serius dari pemerintah somga usaha ukm bisa jalan lagi seperti semula kalau di biarin bisa2 ekonomi masarakat indonesa banyak yang tidak punya penghasilan alias pengangguran merajalela
2023-09-25T18:55:51Z,"Ga ada prubahannya 😅, promise di tt boleh tinggal arahin aja ke aplikasi lain jadi sama aja bisa tetap berjualan cuma meluncur ke aplikasi lajn 😅, jadi sebenarnya tujuannya ga tercapai wkwkwkw umkm offline tetep aja bakalan sepi 😅"
2023-09-25T18:55:40Z,"Trus.. seumpama, kalau tiktok bikin platform baru dgn nama TIKTOKshop gt
Yg fokus jual beli, bkn sosial media lagi.. spt shopee bukalapak sejenisnya, apa jg tdk boleh??"
2023-09-25T18:28:43Z,"Terus gimna bang, nasib para affiliator yg komisinya blum cair.😢😢😢"
2023-09-25T18:12:56Z,Datanya udh di ambil bjyorka
2023-09-25T17:57:29Z,TIK TOK SHOP HARUS DI BOIKOT...
2023-09-25T17:50:07Z,"kami masarakat buruh kompeksi sedang menanti dan berharap agar pasar tanah abang yg sudah lama dikenal dan terkenal juga trbesar se asia agar cepat pulih kmbali ramai sprti semula. karna kami msrkt buruh yg dari kampung yg biasa buruh jahit dikompeksi bener"" sedang kesulitan bnyk nganggur dan bengong."
2023-09-25T17:45:56Z,Telat pak menteri
2023-09-25T17:39:44Z,harusnya dari awal dibuat regulasinya
2023-09-25T17:31:08Z,Dionline bnyk juga yg menjual brg palsu mohon ditindak
2023-09-25T17:26:21Z,"GASSS pak Menteri,
Harus lindungi UMKM INDONESIA. Terimakasih"
2023-09-25T17:22:53Z,"Salah satu aplikasi paling manipulatif, sugestif ya tiktok. Bikin penggunaan nya kena genjutsu.
Pendek, berulang, masif. Bentuk video + audio. Sesuai kinerja otak. Musiknya aja bikin terngiang ngiang. 
Klo sosmed doank mah paling bikin gagap kamu nanyeaa. 
Lah klo isinya iklan Marketing, jelas nempel bgt. 
Bikin ortu & adik jadi ngereng terus penasaran mau di beli semua kena genjutsu influencer padahal ga butuh. 😂😂"
2023-09-25T17:20:36Z,Para AFFILIATOR siap siap gigit KAKI😮
2023-09-25T17:10:05Z,Tutup saja APLI kasi jual online itu merusak ekonomi masyarakat dan negara kita kadang gk sadar kita di jajah lewat online barang murah padahal jual rugi biar masyarakat tutup pasar setelah itu ada pihak tertentu menguasai pasar kita Indonesia
2023-09-25T17:01:43Z,"Yang di atur itu mending produk dari luar, bukan menghapus kan platform, krna gak semua yg ada di platform itu barang dari luar, ada juga yg dari lokal, contoh saya jual baju hasil produksi lokal, di platform tersebut dan alhamdulillah sudah mulai merasakan dampak baiknya, lalu gimana nasib orang lokal yg seperti saya ini?"
2023-09-25T17:00:15Z,"Terimakasih untuk bapak2 menteri atas responnya.. Tapi kok kayak masih nanggung ya?! Yg dibahas cuma tiktok, tapi e-commerce yg lainnya gak dibahas? Padahal shopee, lazada, dll juga harus bener2 diatur pak..

Udah harga murah, gratis ongkir, bisa pay later alias kasbon pula.. Belum lagi kalo udah ada promo tanggal2 tertentu, harganya bisa lebih gak masuk akal pak! Masa iya ada mobil dijual dgn harga Rp.1???

Pasar dan supermarket aja diatur dengan ketat, masa shopee, lazada, dan yg lainnya dibebasin gitu aja pak..?!

Ayolah pak, jangan setengah2 kalo bikin kebijakan.."
2023-09-25T16:59:47Z,Mari sama sama kita saksikan apakah pasar konvesional akan kembali ramai.. atau pemerinta hanya cari kambing hitam karna pertumbuhan ekonomi mandeg...  kepetusan mentri tek kocak. Wkwkwkw
2023-09-25T16:55:46Z,Yessssss Alhamdulillah
2023-09-25T16:37:57Z,Platfom nggk bisa jual produknya sendiri..alfamart/indomart dan borma jual produk sendiri tuh cek lagi pa yah
2023-09-25T16:33:13Z,"Sosial ecomerce nggk boleh digabung yah pa..
Klw ecomerce sosial brrti bisa yah.
Tiktokshop tinggl ubah ajh klw gtu😄
Biar sma kya shopee..shopee skrg jga ecomerce dan sosial pa🤣"
2023-09-25T16:28:39Z,Saya setuju..tutup dagang online..
2023-09-25T16:16:19Z,Semoga membawa dampak yang baik bagi para pelaku UMKM
2023-09-25T16:15:59Z,"Mnurut sy kemunduran cara berfikir bila harus di pisahkan krena toh tetap saja bisa promosiin barang yg terintegrasi dengan ecomerce, yg perlu di atur perilaku produsen yg memangkas reseller menggunakan afiliator. Khusus kategori fashion banned aja barang impor yg masuk agar ada jaminan kepastian melindungi UMKM qt, toh qt juga punya SDM yg sangat kuat di bidang fashion. hnya kategori fashion saja yg menghantam tanah abang tpi pertumbuhan UMKM di kategori lain pertumbuhannya beribu ribu persen. Jaman dah berubah customer makin pintar, tanah abang tdk akan seperti dulu lgi"
2023-09-25T16:11:39Z,Ane pling sebel bnyak iklan lazada
2023-09-25T16:08:52Z,HAPUS GRATIS ONGKIR SEMUA PLATFORM!!!! GRATIS ONGKIR MEMBUNUH UMKM
2023-09-25T16:07:52Z,"Semoga pemerintah konsisten menangani hal ini,kasian para pedagang2 kecil dan pelaku umkm"
2023-09-25T16:05:34Z,Kalo toko di pasar banyak yng tutup akibat nya banyak pengangguran pa lebih baik tutup saja aplikasi tik tok demi menyelamatkan masakan kecil dan UMKM
2023-09-25T16:02:07Z,"Jangan senang dulu
Nanti kita liat faktanya .."
2023-09-25T16:02:05Z,"Game2 yg bkin org/anak ketagihan, judi online, pinjol yg jauh lebih penting klo mau d tutup pak"
2023-09-25T15:51:05Z,Bagai mana dengan straup yg lain ap jg d larang
2023-09-25T15:50:21Z,Biar harga ngga hancur
2023-09-25T15:49:56Z,Tik tok.. soppe Tokopedia Bukalapak dan lain lain penghancur harga..perlu di atur tuh
2023-09-25T15:43:45Z,Sekelas mentri2 kok ga bisa mikir ya harusnya kan pajak yang digedein bukannya malah larang berjualan😏 di china aja bgtu barang2 luar masuk ke negaranya pajak digedein baru nanti bisa bersaing. Kadang sekolah tinggi ga menjamin pintar ya😁
2023-09-25T15:43:37Z,Apakabar dengan judol pak
2023-09-25T15:42:54Z,bagus lah untuk pedagang  kecil harus bisa berkembang
2023-09-25T15:41:53Z,nah bedanya tik tok shop sama toped dan sopi apa ?
2023-09-25T15:38:39Z,Joni geplet 😅
2023-09-25T15:38:00Z,Semua platform harus di larang berjualan Live jika tidak di larang maka tidak ada jalan keluarnya
2023-09-25T15:30:52Z,Terserah mau gimana juga.yg penting pasar Senen tetep buka...dan nyari duit gampang.jangankan belanja ke tanah Abang .makan aja susah....banyak org mati kelaparan
2023-09-25T15:27:36Z,"Kenapa baru skrg pak? sudah agak terlambat, dan pengawasannya pun akan susah karna munculnya jutaan online shop baru, namun jutaan pula yg berguguran."
2023-09-25T15:23:08Z,Penetapan harga kok ga ada. Harga tetap suka2 mereka donk
2023-09-25T15:22:19Z,Ini baru benar..produk china terlalu murah bikin hancur pasaran dalam negri...perlidungan konsumen & pedagang harus d lindungi ..produk2 china harus d kena kan pajak yg sesuai agar harga nya sama dgn produk2 dalam negri👍👍👍👍♥️🇮🇩🇮🇩🇮🇩🇮🇩
2023-09-25T15:19:47Z,kenapa ngga dari awal2 nunggu nunggu rakyat menjerit baru di proses?
2023-09-25T15:18:07Z,gua pengen punya pejabat yang muda...x aja gt ada yang kepikiran buat motor asli indo...pokoknya serba indo...biar kalo pertemuan skla global...pemimpin duduk manis...banyak yang datang dan minta salaman hangat gt...pengen banget w liat yang begituan...
2023-09-25T15:14:41Z,Kira 2 fitur COD pembayaran hilang tidak ya
2023-09-25T15:12:46Z,"kedepan pemerintah harus lbih  progreaiv lg... menyikapi prdagangan lewat medsos.... kasihan pra umkm yg retail...
in demi kemaslahatan warga negara...."
2023-09-25T15:09:22Z,Harusnyan penjual menjual barangmya di tiktok dan membuka reseller
2023-09-25T14:54:42Z,"Jangan cuma tiktok. Klo bisa juga shopi, tokped, lazda, gogle, facbok, instagrm... Tutup sajalebih baik"
2023-09-25T14:47:32Z,Berarti nanti tidak boleh ada  live sambil pasang keranjang kuning di bawah.
2023-09-25T14:35:48Z,"Tolong harga diatur pak,sehingga pedagang kecil tidak kesulitan"
2023-09-25T14:32:28Z,Semoga tepat ya ini bner2 lgkah yg bisa mnylamatkan kami para pdgang oflen
2023-09-25T14:30:54Z,"Itu namanya pejabat,hadir di saat kolap"
2023-09-25T14:25:17Z,PANTESAN BANYAK PEDAGANG PAKAYAN BERALIH MENJADI PEMULUNG 😂😂😂😂
2023-09-25T14:23:54Z,judi on line mohon  dibinasakan....
2023-09-25T14:23:52Z,"Wait.. wait.. wait.. tiktok awalnya sosial media yg berubah menjadi ecommerce sehingga yg live streaming disitu bisa langsung bertransaksi didalam platform dan skrg itu yg dilarang,, shopee lazada itu kan bisa livestreming juga, jadi shopee & lazada ecommerce yg berubah menjadi sosial media??!
Kl tiktok dilarang menjadi ecommerce yg diuntungkan disini platform kompetitornyalaah traficnya kembali kemereka, Pemerintah untuk kontrol harga blusukannya jgn cuma kepasar tradisional aja tp juga keplatform2 ecommerce jg"
2023-09-25T14:10:19Z,Alhamdulillah
2023-09-25T14:05:33Z,Setuju pak.. semoga jadi lebih baik ekonomi kita
2023-09-25T14:03:18Z,"Sangat membantu pedagang sosmed untuk orang yg tinggal di luar ibu kota negara,sangat membantu"
2023-09-25T13:56:52Z,"Pak ini sekarang sudah jaman online, sekarang orang2 lebih memilih membeli barang online karena diberikan fasilitas yg mudah dan tidak perlu repot2 untuk keluar rumah. Srharus nya pemerintah memberikan edukasi kepada UMKM supaya mengikuti jaman yg sekarang seperti ini. Ga akan bisa berkembang SDM indonesia jika tidak mengikuti jaman sekarang pak. Nanti luar negri sudah tidak jaman online yg lebih canggih, indonesia baru belajar online."
2023-09-25T13:56:16Z,"Semua pedagang, TDK hanya pedagang tanah Abang bisa menggunakan tiktok kan dlm pemasaran nya.... Ini era perdagangan global,  persaingan pasar bebas.... Kita hrs berani perang harga dan perang mutu barang.... Inget gk dlu pidato SUHARTO"
2023-09-25T13:52:48Z,Hidup UMKM indonesia 🫡
2023-09-25T13:51:13Z,"Sya dukung kli ini ,cman adnya toko online ini hrus di kenakapn pajak 11 % biar sama pak sma kami yg convensional"
2023-09-25T13:50:51Z,"Gua sih tetep belanja online
Dri pada ke pasar"
2023-09-25T13:44:59Z,"Setuju ,Bapak .Banjirnya produk import dgn harga murah imbasnya ke mana2x ."
2023-09-25T13:43:50Z,"Kasihan toko banyak tutup , adnya online shopp dan harga berantakan semua"
2023-09-25T13:35:17Z,Mantap
2023-09-25T13:32:40Z,"Blokir aja tiktok,,AS DAN INDIA   udah yg pertama,, jgn ada yg bilang menolak teknologi,, ,, apa As dan india orang bodoh,   perang harga adalh inti permasalhan"
2023-09-25T13:31:48Z,0:56 0:57​@horma mknya pedagang yg salah.... mengapa hrgnya tdk bisa bersaing....kl pelanggan maunya kwalitas bagus dan hrg murah...ini membantu rakyat....kl pedagang bisa jualvbersaing dgn on-line jauh lbh bagus
2023-09-25T13:31:37Z,Alkhamdulilah
2023-09-25T13:30:44Z,Ko l*****z sh**** tookop**** gaa
2023-09-25T13:28:09Z,"Apa karena izinnya sebagai medsos seperti meta dan X . ?
Bukan berizin e-commerce ..??"
2023-09-25T13:24:53Z,Ini baru bener pak... Kenapa tdk dari awal kek gini... Biar lebih adil
2023-09-25T13:24:28Z,Pak jgn lupa klo pihak tiktok gk mau ngikutin aturan dalem negri lebih baik di Banned aja. Biar masalah selesai.
2023-09-25T13:22:42Z,👍👍👍👍👍
2023-09-25T13:21:32Z,Kenapa gak ngurusin judi online aja sihhh..
2023-09-25T13:17:17Z,Ada bagusnya ada buruknya... bagusnya bisa merata kalangan bawah bisa exis kembali....jadi GK melulu artis ..karena setiap artis live yang lain akan meredup. ... semoga bisa merata lagi
2023-09-25T13:15:53Z,Makasih pa menteri
2023-09-25T13:11:23Z,barang impornya yg paking membuhun
2023-09-25T13:11:04Z,pak aturan impor nya juga d evaluasi pak.
2023-09-25T13:02:10Z,"Seharusnya ARTIS yg di larang,penontonnya di ambil artis semua klu live."
2023-09-25T12:57:55Z,"Pasar offline juga harusnya diatur pak,,,, brp orang yg sudah banyak ketipu disana,,,,"
2023-09-25T12:56:12Z,Mksdnya apa sih?😁
2023-09-25T12:50:03Z,Mudah2han pilpres jaman ini jangan dari kalanggan yg udah afkir.. udah seharusnya negaraku dipimpin orang yg ngerti akan jaman dan lebih mudah
2023-09-25T12:46:01Z,Itu sih ndak ada bedanya ... tinggal ganti nama aja... atau bahasa lain tukar baju.... seharusnya menteri perdaganggan haruslah orang yg bnar2 ahli dari perdaganggan bukan dari politik....
2023-09-25T12:44:29Z,USUL PAK JUDI ONLINE JUGA HARUS DI BUMI HANGUSKAN DOOONKKK!!!!!!!!!!?? WOOYYYYYYYYYYY
